"Код дилера";"Сервисный код дилера";"";"";"Код SAP площадки";"Контрагент";"";"";"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";"";"";"";"";"";"Стоимость запчастей";"";"";"";"";"";"Стоимость запчастей PL-2";"";"";"Итого - ремонт";"";"";"";"";"";"Итого - PL-2 ремонт";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Elantra";"AD";"2016-2020";"2.0";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"12445";"13840,37";"12445";"18040,37";"12445";"13840,37";"17040,37";"11445";"12840,37";"16225";"18970,37";"16225";"24520,37";"16225";"18970,37";"23520,37";"15225";"17970,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Elantra";"CN7";"2020-";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"12933";"18188,37";"12933";"21018,37";"12933";"18188,37";"20018,37";"11933";"17188,37";"16713";"23318,37";"16713";"27498,37";"16713";"23318,37";"26498,37";"15713";"22318,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Elantra";"CN7";"2020-";"2.0";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"14654";"16049,37";"14654";"18879,37";"14654";"16049,37";"17879,37";"13654";"15049,37";"18434";"21179,37";"18434";"25359,37";"18434";"21179,37";"24359,37";"17434";"20179,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Sonata";"LF";"2017-2019";"2.0";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"12925";"14320,37";"12925";"18117,18";"12925";"14320,37";"17117,18";"11925";"13320,37";"16705";"19450,37";"16705";"24597,18";"16705";"19450,37";"23597,18";"15705";"18450,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Sonata";"LF";"2017-2019";"2.4 GDi";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"14125";"15520,37";"14125";"18884,15";"14125";"15520,37";"17884,15";"13125";"14520,37";"17905";"20650,37";"17905";"25364,15";"17905";"20650,37";"24364,15";"16905";"19650,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Sonata";"DN8";"2020-";"2.0";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"13222";"14617,37";"13222";"18450,37";"13222";"14617,37";"17450,37";"12222";"13617,37";"17002";"19747,37";"17002";"24930,37";"17002";"19747,37";"23930,37";"16002";"18747,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Sonata";"DN8";"2020-";"2.5";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"14983";"16378,37";"14983";"20211,37";"14983";"16378,37";"19211,37";"13983";"15378,37";"18763";"21508,37";"18763";"26691,37";"18763";"21508,37";"25691,37";"17763";"20508,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i40";"VF";"2011-2017";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11346,02";"16601,39";"11346,02";"20234,89";"11346,02";"16601,39";"19234,89";"10346,02";"15601,39";"15126,02";"21731,39";"15126,02";"26714,89";"15126,02";"21731,39";"25714,89";"14126,02";"20731,39"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i40";"VF";"2011-2017";"2.0";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11946,02";"13341,39";"11946,02";"15429,97";"11946,02";"13341,39";"14429,97";"10946,02";"12341,39";"15726,02";"18471,39";"15726,02";"21909,97";"15726,02";"18471,39";"20909,97";"14726,02";"17471,39"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i40";"VF";"2011-2017";"1.7";"Дизельный";"3780";"5130";"3780";"6480";"3780";"5130";"13918,18";"17941,74";"13918,18";"17941,74";"13918,18";"17941,74";"16941,74";"12918,18";"16941,74";"17698,18";"23071,74";"17698,18";"24421,74";"17698,18";"23071,74";"23421,74";"16698,18";"22071,74"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Creta";"GSr";"2016-2021";"1.6";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"11337";"16592,37";"11337";"19442,37";"11337";"16592,37";"18442,37";"10337";"15592,37";"15927";"22802,37";"15927";"26732,37";"15927";"22802,37";"25732,37";"14927";"21802,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Creta";"GSr";"2016-2021";"2.0";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"11937";"13332,37";"11937";"16182,37";"11937";"13332,37";"15182,37";"10937";"12332,37";"16527";"19542,37";"16527";"23472,37";"16527";"19542,37";"22472,37";"15527";"18542,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Creta";"SU2r";"2021-";"1.6";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"11200";"16455,37";"11200";"19755,37";"11200";"16455,37";"18755,37";"10200";"15455,37";"15790";"22665,37";"15790";"27045,37";"15790";"22665,37";"26045,37";"14790";"21665,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Creta";"SU2r";"2021-";"2.0";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"12921";"14316,37";"12921";"17616,37";"12921";"14316,37";"16616,37";"11921";"13316,37";"17511";"20526,37";"17511";"24906,37";"17511";"20526,37";"23906,37";"16511";"19526,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"TLe";"2015-2021";"2.0";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"12865";"14260,37";"12865";"17790,37";"12865";"14260,37";"16790,37";"11865";"13260,37";"17455";"20470,37";"17455";"25080,37";"17455";"20470,37";"24080,37";"16455";"19470,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"TLe";"2015-2021";"1.6T GDI";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"13615";"15010,37";"13615";"18310,37";"13615";"15010,37";"17310,37";"12615";"14010,37";"18205";"21220,37";"18205";"25600,37";"18205";"21220,37";"24600,37";"17205";"20220,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"TLe";"2015-2021";"2.0";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"18462,97";"25259,34";"18462,97";"25259,34";"18462,97";"25259,34";"24259,34";"17462,97";"24259,34";"23052,97";"31469,34";"23052,97";"31469,34";"23052,97";"31469,34";"30469,34";"22052,97";"30469,34"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"TLe";"2015-2021";"2.4";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"14065";"15460,37";"14065";"20319,01";"14065";"15460,37";"19319,01";"13065";"14460,37";"18655";"21670,37";"18655";"27609,01";"18655";"21670,37";"26609,01";"17655";"20670,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"NX4";"2021-";"2.0";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"14629";"16024,37";"14629";"19857,37";"14629";"16024,37";"18857,37";"13629";"15024,37";"19219";"22234,37";"19219";"27147,37";"19219";"22234,37";"26147,37";"18219";"21234,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"NX4";"2021-";"2.0";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"16871";"27381,37";"16871";"27381,37";"16871";"27381,37";"26381,37";"15871";"26381,37";"21461";"33591,37";"21461";"33591,37";"21461";"33591,37";"32591,37";"20461";"32591,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Tucson";"NX4";"2021-";"2.5 GDI";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"16769";"18164,37";"16769";"21997,37";"16769";"18164,37";"20997,37";"15769";"17164,37";"21359";"24374,37";"21359";"29287,37";"21359";"24374,37";"28287,37";"20359";"23374,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"CM";"2006-2012";"2.4";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"13547,15";"14942,52";"13547,15";"18362,86";"13547,15";"14942,52";"17362,86";"12547,15";"13942,52";"18137,15";"21152,52";"18137,15";"25652,86";"18137,15";"21152,52";"24652,86";"17137,15";"20152,52"
