"Код дилера";"Сервисный код дилера";;;"Код SAP площадки";"Контрагент";;;"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";;;;;;"Стоимость запчастей";;;;;;"Стоимость запчастей PL-2";;;"Итого - ремонт";;;;;;"Итого - PL-2 ремонт";;
;;;;;;;;;;;;;"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Elantra";"AD";"2016-2020";"1.6";"Бензиновый";3500;4750;3500;5750;3500;5000;7920;11392;7920;15645;7920;11392;13298,25;6732;9683,2;11420;16142;11420;21395;11420;16392;19048,25;10232;14683,2
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Elantra";"AD";"2016-2020";"2.0";"Бензиновый";3500;4750;3500;5750;3500;5000;8335;9535;8335;13788;8335;9535;11719,8;7084,75;8104,75;11835;14285;11835;19538;11835;14535;17469,8;10584,75;13104,75
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Elantra";"CN7";"2020-";"1.6";"Бензиновый";3500;4750;3500;5750;3500;5000;8635;12107;8635;15015;8635;12107;12762,75;7339,75;10290,95;12135;16857;12135;20765;12135;17107;18512,75;10839,75;15290,95
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Elantra";"CN7";"2020-";"2.0";"Бензиновый";3500;4750;3500;5750;3500;5000;8911;10111;8911;13019;8911;10111;11066,15;7574,35;8594,35;12411;14861;12411;18769;12411;15111;16816,15;11074,35;13594,35
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Sonata";"LF";"2017-2019";"2.0";"Бензиновый";3500;4750;3500;5750;3500;5000;9140;10340;9140;13919;9140;10340;11831,15;7769;8789;12640;15090;12640;19669;12640;15340;17581,15;11269;13789
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Sonata";"LF";"2017-2019";"2.4 GDi";"Бензиновый";3500;4750;3500;5750;3500;5000;9804;11004;9804;14772;9804;11004;12556,2;8333,4;9353,4;13304;15754;13304;20522;13304;16004;18306,2;11833,4;14353,4
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Sonata";"DN8";"2020-";"2.0";"Бензиновый";3500;4750;3500;5750;3500;5000;9606;10806;9606;13714;9606;10806;11656,9;8165,1;9185,1;13106;15556;13106;19464;13106;15806;17406,9;11665,1;14185,1
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Sonata";"DN8";"2020-";"2.5";"Бензиновый";3500;4750;3500;5750;3500;5000;11453;12653;11453;15561;11453;12653;13226,85;9735,05;10755,05;14953;17403;14953;21311;14953;17653;18976,85;13235,05;15755,05
"RC245";352;;;"C40AF00352";"ГАЛС";;;"i40";"VF";"2011-2017";"1.6";"Бензиновый";3500;4750;3500;5750;3500;5000;8538;9738;8538;12077;8538;9738;10265,45;7257,3;8277,3;12038;14488;12038;17827;12038;14738;16015,45;10757,3;13277,3
"RC245";352;;;"C40AF00352";"ГАЛС";;;"i40";"VF";"2011-2017";"2.0";"Бензиновый";3500;4750;3500;5750;3500;5000;8538;9738;8538;12077;8538;9738;10265,45;7257,3;8277,3;12038;14488;12038;17827;12038;14738;16015,45;10757,3;13277,3
"RC245";352;;;"C40AF00352";"ГАЛС";;;"i40";"VF";"2011-2017";"1.7";"Дизельный";3500;4750;3500;5750;3500;5000;9966;15832;9966;15832;9966;15832;13457,2;8471,1;13457,2;13466;20582;13466;21582;13466;20832;19207,2;11971,1;18457,2
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Creta";"GSr";"2016-2021";"1.6";"Бензиновый";4250;5750;4250;6750;4250;5750;7051;11523;7051;13917;7051;11523;11829,45;5993,35;9794,55;11301;17273;11301;20667;11301;17273;18579,45;10243,35;15544,55
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Creta";"GSr";"2016-2021";"2.0";"Бензиновый";4250;5750;4250;6750;4250;5750;7383;8583;7383;10977;7383;8583;9330,45;6275,55;7295,55;11633;14333;11633;17727;11633;14333;16080,45;10525,55;13045,55
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Creta";"SU2r";"2021-";"1.6";"Бензиновый";4250;5750;4250;6750;4250;5750;7649;11177;7649;13960;7649;11177;11866;6501,65;9500,45;11899;16927;11899;20710;11899;16927;18616;10751,65;15250,45
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Creta";"SU2r";"2021-";"2.0";"Бензиновый";4250;5750;4250;6750;4250;5750;8676;9876;8676;12659;8676;9876;10760,15;7374,6;8394,6;12926;15626;12926;19409;12926;15626;17510,15;11624,6;14144,6
"RC245";352;;;"C40AF00352";"ГАЛС";;;"ix35";"Ele";"2010-2015";"2.0";"Бензиновый";4250;5750;4250;6750;4250;5750;8466;9666;8466;11901;8466;9666;10115,85;7196,1;8216,1;12716;15416;12716;18651;12716;15416;16865,85;11446,1;13966,1
"RC245";352;;;"C40AF00352";"ГАЛС";;;"ix35";"Ele";"2010-2015";"2.0";"Дизельный";4250;5750;4250;6000;4250;6000;12383;16358;12383;16358;12383;16358;13904,3;10525,55;13904,3;16633;22108;16633;22358;16633;22358;19904,3;14775,55;19904,3
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Tucson";"TLe";"2015-2021";"2.0";"Бензиновый";4250;5750;4250;6750;4250;5750;8408;9608;8408;12597;8408;9608;10707,45;7146,8;8166,8;12658;15358;12658;19347;12658;15358;17457,45;11396,8;13916,8
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Tucson";"TLe";"2015-2021";"1.6T GDI";"Бензиновый";4250;5750;4250;6750;4250;5750;8823;10023;8823;12315;8823;10023;10467,75;7499,55;8519,55;13073;15773;13073;19065;13073;15773;17217,75;11749,55;14269,55
"RC245";352;;;"C40AF00352";"ГАЛС";;;"Tucson";"TLe";"2015-2021";"2.0";"Дизельный";4250;5750;4250;5750;4250;6000;12343;18803;12343;18803;12343;18803;15982,55;10491,55;15982,55;16593;24553;16593;24553;16593;24803;21732,55;14741,55;21982,55
